Raw Data,Extreme Samples,Deviation from Baseline,Light Tap Average,Medium Tap Average,Heavy Tap Average
1922,1938,28,25.625,53.03278689,248.1428571
1938,1935,25,,,
1935,1935,25,,,
1925,1936,26,,,
1905,1951,41,,,
1935,1958,48,,,
1936,1937,27,,,
1951,1904,6,,,
1958,1901,9,,,
1937,1935,25,,,
1904,1889,21,,,
1922,1902,8,,,
1919,1873,37,,,
1901,1883,27,,,
1935,1882,28,,,
1921,1881,29,,,
1920,1879,31,,,
1922,1845,65,,,
1920,1861,49,,,
1923,1879,31,,,
1923,1904,6,,,
1921,1888,22,,,
1919,1865,45,,,
1915,1867,43,,,
1909,1877,33,,,
1889,1897,13,,,
1902,1897,13,,,
1873,1887,23,,,
1883,1872,38,,,
1882,1873,37,,,
1918,1883,27,,,
1917,1887,23,,,
1915,1873,37,,,
1922,1873,37,,,
1920,1865,45,,,
1919,1875,35,,,
1921,1903,7,,,
1919,1887,23,,,
1907,1867,43,,,
1881,1862,48,,,
1879,1875,35,,,
1845,1882,28,,,
1861,1927,17,,,
1879,1883,27,,,
1913,1875,35,,,
1910,1859,51,,,
1919,1872,38,,,
1919,1926,16,,,
1919,1879,31,,,
1925,1853,57,,,
1916,1872,38,,,
1915,1872,38,,,
1904,1937,27,,,
1888,1904,6,,,
1865,1887,23,,,
1867,1872,38,,,
1877,1856,54,,,
1897,1856,54,,,
1915,1877,33,,,
1917,1890,20,,,
1918,1840,70,,,
1921,1840,70,,,
1920,1850,60,,,
1917,1849,61,,,
1923,1936,26,,,
1918,1814,96,,,
1911,1808,102,,,
1897,1829,81,,,
1887,2041,131,,,
1872,1794,116,,,
1873,1773,137,,,
1883,1769,141,,,
1911,1990,80,,,
1917,1821,89,,,
1916,1734,176,,,
1916,1710,200,,,
1917,1751,159,,,
1921,1926,16,,,
1919,1789,121,,,
1918,1710,200,,,
1909,1701,209,,,
1887,1783,127,,,
1873,1968,58,,,
1873,1936,26,,,
1865,1776,134,,,
1875,1716,194,,,
1903,1745,165,,,
1914,1757,153,,,
1911,1883,27,,,
1915,1904,6,,,
1919,1903,7,,,
1918,1802,108,,,
1918,1717,193,,,
1915,1763,147,,,
1907,1802,108,,,
1887,1843,67,,,
1867,1775,135,,,
1862,1729,181,,,
1875,1756,154,,,
1882,1852,58,,,
1923,1934,24,,,
1922,1882,28,,,
1913,1797,113,,,
1915,1763,147,,,
1920,1758,152,,,
1919,1761,149,,,
1917,2096,186,,,
1927,1929,19,,,
1910,1793,117,,,
1883,1712,198,,,
1875,1745,165,,,
1859,1826,84,,,
1872,1899,11,,,
1911,1949,39,,,
1926,1761,149,,,
1919,1735,175,,,
1919,1721,189,,,
1922,1719,191,,,
1921,1773,137,,,
1919,1936,26,,,
1911,1926,16,,,
1879,1946,36,,,
1853,1935,25,,,
1872,1931,21,,,
1872,1935,25,,,
1937,1904,6,,,
1920,1840,70,,,
1917,1872,38,,,
1922,1879,31,,,
1922,1897,13,,,
1915,1894,16,,,
1919,1904,6,,,
1904,1897,13,,,
1887,1936,26,,,
1872,1936,26,,,
1856,1879,31,,,
1856,1746,164,,,
1877,1609,301,,,
1918,1582,328,,,
1919,1631,279,,,
1919,1717,193,,,
1915,1938,28,,,
1919,1873,37,,,
1918,1761,149,,,
1920,1535,375,,,
1923,1589,321,,,
1925,1552,358,,,
1919,1527,383,,,
1910,1965,55,,,
1890,1977,67,,,
1840,1929,19,,,
1840,1331,579,,,
1850,1533,377,,,
1849,1520,390,,,
1920,1556,354,,,
1921,1655,255,,,
1919,1893,17,,,
1919,1879,31,,,
1918,1094,816,,,
1921,1569,341,,,
1919,1614,296,,,
1920,1615,295,,,
1919,1712,198,,,
1922,1938,28,,,
1918,1931,21,,,
1921,1312,598,,,
1918,1603,307,,,
1923,1640,270,,,
1921,1707,203,,,
1919,1712,198,,,
1936,1941,31,,,
1814,1937,27,,,
1808,1472,438,,,
1829,1490,420,,,
2041,1639,271,,,
1921,1658,252,,,
1919,1626,284,,,
1915,1770,140,,,
1922,1967,57,,,
1919,1227,683,,,
1922,1588,322,,,
1917,1710,200,,,
1794,1692,218,,,
1773,1729,181,,,
1769,1876,34,,,
1990,1933,23,,,
1921,1114,796,,,
1919,1594,316,,,
1922,1693,217,,,
1920,1695,215,,,
1919,1726,184,,,
1922,1838,72,,,
1821,1947,37,,,
1734,1803,107,,,
1710,1421,489,,,
1751,1633,277,,,
1919,1692,218,,,
1918,1729,181,,,
1919,1686,224,,,
1918,2006,96,,,
1926,2057,147,,,
1789,1273,637,,,
1710,1489,421,,,
1701,1723,187,,,
1783,1742,168,,,
1968,1785,125,,,
1919,1702,208,,,
1919,1968,58,,,
1918,1967,57,,,
1936,1937,27,,,
1776,1889,21,,,
1716,1902,8,,,
1745,1875,35,,,
1757,1878,32,,,
1883,1870,40,,,
1904,1861,49,,,
1915,1842,68,,,
1922,1854,56,,,
1903,1856,54,,,
1802,1847,63,,,
1717,1856,54,,,
1763,1840,70,,,
1802,1891,19,,,
1917,1872,38,,,
1920,1904,6,,,
1917,1897,13,,,
1917,,,,,
1919,,,,,
1843,,,,,
1775,,,,,
1729,,,,,
1756,,,,,
1852,,,,,
1934,,,,,
1920,,,,,
1920,,,,,
1920,,,,,
1882,,,,,
1797,,,,,
1763,,,,,
1758,,,,,
1761,,,,,
2096,,,,,
1929,,,,,
1914,,,,,
1919,,,,,
1916,,,,,
1923,,,,,
1793,,,,,
1712,,,,,
1745,,,,,
1826,,,,,
1899,,,,,
1917,,,,,
1919,,,,,
1917,,,,,
1949,,,,,
1761,,,,,
1735,,,,,
1721,,,,,
1719,,,,,
1773,,,,,
1936,,,,,
1917,,,,,
1917,,,,,
1920,,,,,
1919,,,,,
1920,,,,,
1926,,,,,
1946,,,,,
1935,,,,,
1922,,,,,
1931,,,,,
1935,,,,,
1904,,,,,
1907,,,,,
1840,,,,,
1872,,,,,
1879,,,,,
1897,,,,,
1894,,,,,
1904,,,,,
1897,,,,,
1909,,,,,
1918,,,,,
1925,,,,,
1922,,,,,
1936,,,,,
1936,,,,,
1920,,,,,
1909,,,,,
1879,,,,,
1746,,,,,
1609,,,,,
1582,,,,,
1631,,,,,
1717,,,,,
1938,,,,,
1873,,,,,
1761,,,,,
1535,,,,,
1589,,,,,
1552,,,,,
1527,,,,,
1965,,,,,
1977,,,,,
1929,,,,,
1331,,,,,
1533,,,,,
1520,,,,,
1556,,,,,
1655,,,,,
1893,,,,,
1879,,,,,
1094,,,,,
1569,,,,,
1614,,,,,
1615,,,,,
1712,,,,,
1938,,,,,
1931,,,,,
1312,,,,,
1603,,,,,
1640,,,,,
1707,,,,,
1712,,,,,
1941,,,,,
1937,,,,,
1472,,,,,
1490,,,,,
1639,,,,,
1658,,,,,
1626,,,,,
1770,,,,,
1967,,,,,
1908,,,,,
1227,,,,,
1588,,,,,
1710,,,,,
1692,,,,,
1729,,,,,
1876,,,,,
1933,,,,,
1916,,,,,
1114,,,,,
1594,,,,,
1693,,,,,
1695,,,,,
1726,,,,,
1838,,,,,
1947,,,,,
1803,,,,,
1421,,,,,
1633,,,,,
1692,,,,,
1729,,,,,
1686,,,,,
2006,,,,,
2057,,,,,
1273,,,,,
1489,,,,,
1723,,,,,
1742,,,,,
1785,,,,,
1702,,,,,
1968,,,,,
1967,,,,,
1937,,,,,
1919,,,,,
1911,,,,,
1889,,,,,
1902,,,,,
1875,,,,,
1878,,,,,
1870,,,,,
1861,,,,,
1842,,,,,
1854,,,,,
1856,,,,,
1847,,,,,
1856,,,,,
1840,,,,,
1891,,,,,
1872,,,,,
1904,,,,,
1906,,,,,
1915,,,,,
1897,,,,,
1914,,,,,
1919,,,,,
1917,,,,,
1919,,,,,
1915,,,,,
1919,,,,,
1915,,,,,
1919,,,,,
1917,,,,,
1919,,,,,
1918,,,,,
1918,,,,,
1919,,,,,
1921,,,,,
1919,,,,,
1922,,,,,
1917,,,,,
1921,,,,,
1921,,,,,
1918,,,,,
1919,,,,,
1919,,,,,
